title,release_date,tagline
Fear Clinic,10/31/14,
Zombie Hunter,7/25/13,
A Fine Step,4/16/14,Together they learnt to dream again
Charly,9/23/68,A love story that begins with an incredible experiment!
Banshee Chapter,8/26/13,"The experiments are over, the terror has just begun..."
Ask Me Anything,4/19/14,Young. Not so innocent.
And Then Came Love,1/1/07,
Food Chains,4/26/14,
On the Waterfront,6/22/54,The Man Lived by the Jungle Law of the Docks!
L!fe Happens,6/18/11,A comedy that's a real mother.
"4 Months, 3 Weeks and 2 Days",8/24/07,At what moment do we begin to live?
The Horror Network Vol. 1,10/27/15,
Hard Candy,1/14/05,Strangers shouldn't talk to little girls.
The Quiet,9/12/05,Isn't it time everyone hears your secrets?
Circumstance,8/26/11,
Fruitvale Station,7/25/13,Every step brings you closer to the edge
The Brass Teapot,9/8/12,Everyone Has A Price. What's Yours?
Bambi,8/14/42,A great love story.
The Hammer,4/1/07,Some Guys Don't Know Their Destiny Till It Hits Them In The Face.
Latter Days,7/10/03,Aaron prays. Christian plays... Opposites attract.
Elza,4/11/11,
1982,12/31/13,
"For a Good Time, Call...",8/31/12,Lose your hang-ups. Find your calling.
Celeste & Jesse Forever,8/3/12,A Loved Story
Time Changer,10/25/02,What if you could see the future impact of your beliefs? One man will.
London to Brighton,12/1/06,Innocence has nowhere to hide
American Hero,12/11/15,From zero to superhero
Windsor Drive,6/26/15,
A Separation,3/15/11,"Ugly truth, sweet lies."
Crying with Laughter,6/1/09,A Bad Trip Down Memory Lane
Welcome to the Dollhouse,5/24/95,Not all girls want to play with dolls.
Ruby in Paradise,10/8/93,A woman's search for herself.
Raising Victor Vargas,5/16/02,
Pandora's Box,1/30/29,
Harrison Montgomery,1/1/08,
Live-In Maid,9/21/04,
Deterrence,3/10/00,
The Mudge Boy,1/17/03,
The Young Unknowns,3/12/00,
Not Cool,9/23/14,
Dead Snow,1/9/09,"Eins, Zwei, Die!"
Saints and Soldiers,9/11/03,
Vessel,10/28/12,
American Graffiti,8/1/73,Where were you in '62?
Iraq for Sale: The War Profiteers,1/1/06,
Aqua Teen Hunger Force Colon Movie Film for Theaters,4/13/07,
Safety Not Guaranteed,6/8/12,What would you go back for?
Kevin Hart: Laugh at My Pain,9/9/11,Alright! Alright! Alright!
Kill List,9/2/11,
The Innkeepers,12/1/11,Some guests never checked out.
The Conformist,10/21/70,Bertolucci's Masterpiece about Sex and Politics
Interview with the Assassin,5/9/02,Dallas. 1963. The second shooter.
Donkey Punch,7/18/08,This party is going overboard
All the Boys Love Mandy Lane,2/15/08,Everyone is dying to be with her. Someone is killing for it.
Bled,1/1/08,Every addiction has its price.
High Noon,3/27/52,The story of a man who was too proud to run.
Hoop Dreams,9/12/94,An Extraordinary True Story.
Rize,1/15/05,
L.I.E.,1/20/01,"On the Long Island Expressway there are lanes going east, lanes going west, and lanes going straight to hell."
The Sisterhood of Night,4/10/15,The Salem Witch Trials remixed.
B-Girl,7/29/09,
Half Nelson,8/11/06,Secrets don't let go.
Naturally Native,10/8/99,"Sometimes When You're Going Home, It's Important To Know Where You've Come From..."
Hav Plenty,9/11/97,
Adulterers,1/5/16,Love. Betrayal. Vengeance
Escape from Tomorrow,10/11/13,Bad things happen everywhere.
Starsuckers,9/30/09,
The Hadza:  Last of the First,10/31/14,
After,8/27/12,
Treachery,5/16/13,Deep roots... Deeper Secrets
Walter,3/13/15,Heaven or hell. It's in his hands.
Top Hat,9/6/35,They're Dancing Cheek-To-Cheek Again!
The Blair Witch Project,7/14/99,The scariest movie of all time is a true story.
Woodstock,3/26/70,"3 days of peace, music...and love."
The Kentucky Fried Movie,8/10/77,This movie is totally out of control!
Mercy Streets,10/31/00,
Carousel of Revenge,7/20/07,
Broken Vessels,4/18/98,Over the edge and out of control.
Water & Power,5/2/14,
They Will Have to Kill Us First,10/13/15,
Light from the Darkroom,1/1/14,
The Country Doctor,3/23/16,
The Maid's Room,8/8/14,How far will a family go to bury the truth?
A Hard Day's Night,7/6/64,"The Beatles, starring in their first full-length, hilarious, action-packed film!"
The Harvest (La Cosecha),7/29/11,
Love Letters,4/1/83,Sometimes It's Right To Do the Wrong Thing.
Juliet and Alfa Romeo,9/17/15,
Fireproof,9/26/08,Never Leave Your Partner Behind.
Faith Connections,11/21/13,
Benji,10/17/74,
Open Water,8/6/04,Scream all you want.
High Road,3/6/12,The road less traveled is filled with pot holes.
Kingdom of the Spiders,8/24/77,"A Living, Crawling, Hell on Earth!"
Mad Hot Ballroom,5/13/05,
The Station Agent,1/26/03,Loneliness is much better when you have got someone to share it with.
To Save A Life,11/5/09,Some people are just dying to be heard.
Wordplay,6/26/06,
Beyond the Mat,10/22/99,
The Singles Ward,1/30/02,The Road to Eternal Marriage Has Never Been Longer
Osama,5/20/03,To save her family a girl must become a boy
Sholem Aleichem: Laughing In The Darkness,2/24/12,"Before there was Fiddler, there was Tevye... and the man who created him."
Groove,6/8/00,Are you feeling it?
The R.M.,1/31/03,Just when you thought it was safe to go back into the world...
Twin Falls Idaho,7/30/99,A different kind of love story.
Mean Creek,1/15/04,"Beneath the surface, everyone has a secret."
Hurricane Streets,1/21/97,Know life. No limits.
Never Again,7/12/02,A mature love story for immature people.
Civil Brand,8/29/03,
Lonesome Jim,11/16/05,
Drinking Buddies,8/23/13,A comedy about knowing when to say when.
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,10/4/12,
Seven Samurai,4/26/54,The Mighty Warriors Who Became the Seven National Heroes of a Small Town
The Other Dream Team,9/28/12,
Johnny Suede,8/18/91,Keeping up an image can be a full time job.
Finishing The Game,1/21/07,
Rubber,7/9/10,Are you TIRED of the expected?
Kiss the Bride,1/1/07,
The Slaughter Rule,1/1/02,
Monsters,6/18/10,"After Six Years, They're No Longer Aliens. They're Residents"
The Californians,10/21/05,All is fair in love and real estate.
The Living Wake,1/1/07,
Detention of the Dead,4/27/12,"When there's no more room in Hell, the dead will go to DETENTION!"
Crazy Stone,1/1/06,
Scott Walker: 30 Century Man,10/31/06,
Everything Put Together,11/2/01,
Good Kill,4/9/15,
The Outrageous Sophie Tucker,5/2/14,
Now Is Good,5/25/12,"Live every moment, love every minute"
Girls Gone Dead,3/28/12,
America Is Still the Place,,
Subconscious,3/10/15,
Enter Nowhere,10/22/11,Welcome to our nightmare!
El Rey de Najayo,3/1/12,
Fight to the Finish,2/2/16,It's all or nothing
Alleluia! The Devil's Carnival,3/29/16,Hell ain't got a prayer.
The Sound and the Shadow,10/19/14,Be careful what you listen for.
Rodeo Girl,1/5/16,
Born to Fly: Elizabeth Streb vs. Gravity,3/8/14,
The Little Ponderosa Zoo,9/11/14,
The Toxic Avenger,5/1/84,He was 98lbs. of solid nerd until he became...
Straight Out of Brooklyn,6/13/91,
Bloody Sunday,1/16/02,
Diamond Ruff,1/1/15,
Conversations with Other Women,6/7/06,There are two sides to every love story.
Poultrygeist: Night of the Chicken Dead,12/26/06,
Mutual Friends,4/15/14,Surprise parties rarely go well.
42nd Street,2/2/33,
Rise of the Entrepreneur: The Search for a Better Way,11/20/14,
Metropolitan,8/3/90,Finally... A film about the downwardly mobile.
As It Is in Heaven,9/3/04,
Roadside,3/1/13,Their fate...is in his hands.
Napoleon Dynamite,6/11/04,He's out to prove he's got nothing to prove.
Blue Ruin,4/25/14,Revenge comes home
Paranormal Activity,9/14/07,What Happens When You Sleep?
Dogtown and Z-Boys,1/18/01,
Monty Python and the Holy Grail,3/13/75,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.
Quinceañera,6/5/06,Life's no walk in the park
Gory Gory Hallelujah,11/5/03,
Tarnation,10/19/03,
I Want Your Money,7/6/10,The film contrasts two views of role that the federal government should play in our daily lives using the words and actions of Ronald Reagan and Barack Obama.
Love in the Time of Monsters,3/8/14,
The Beyond,4/22/81,"The seven dreaded gateways to Hell are concealed in seven cursed places… And from the day the gates of Hell are opened, the dead will walk the earth."
What Happens in Vegas,5/7/08,Get Lucky
The Dark Hours,3/11/05,
My Beautiful Laundrette,9/7/85,
Fabled,1/1/02,There once was a wolf named Lupold...
Show Me,9/23/04,
Cries and Whispers,12/21/72,A haunting and shattering film experience.
Intolerance,9/4/16,The Cruel Hand of Intolerance
Trekkies,10/18/97,
The Broadway Melody,2/8/29,The pulsating drama of Broadway's bared heart speaks and sings with a voice to stir your soul!
The Evil Dead,10/15/81,The Ultimate Experience In Grueling Terror
Maniac,12/26/12,I Warned You Not to Go Out Tonight.
Censored Voices,1/24/15,"The Six-Day War, Uncut."
Murderball,7/22/05,
American Ninja 2: The Confrontation,5/1/87,
51 Birch Street,10/18/06,Do you really want to know your parents?
Rotor DR1,10/20/15,
12 Angry Men,3/25/57,Life is in their hands. Death is on their minds.
My Dog Tulip,1/1/09,"Sometimes, love really is a bitch."
It Happened One Night,2/22/34,TOGETHER... for the first time
Dogtooth,6/1/09,The cat is the most feared animal there is!
Tupac: Resurrection,1/23/03,In his own words
Tumbleweeds,11/28/99,They ran away from everything but each other.
The Prophecy,9/1/95,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth."
When the Cat's Away,4/3/96,No man. No job. No cat.
Pieces of April,1/19/03,She's the one in every family.
The Big Swap,6/11/98,
Old Joy,1/1/06,
Wendy and Lucy,5/22/08,"On the long road, friendship is everything."
3 Backyards,1/1/10,
Pierrot le Fou,8/29/65,
Sisters in Law,9/3/05,
Ayurveda: Art of Being,9/20/01,
Nothing But a Man,1/1/64,
"First Love, Last Rites",8/7/98,
Fighting Tommy Riley,5/6/05,
Royal Kill,4/10/09,
The Looking Glass,10/23/15,
Death Race 2000,4/27/75,A Cross Country Road Wreck!
Locker 13,3/29/14,
Midnight Cabaret,1/1/90,The hot spot where Satan's waitin'.
Anderson's Cross,5/20/10,Sometimes the boy next door is more than the boy next door...
Bizarre,2/7/15,
Graduation Day,5/1/81,Some kids are dying to graduate...
Some Guy Who Kills People,4/14/11,Your number is up.
Compliance,8/23/12,Power. Manipulation. Obedience.
Chasing Amy,4/4/97,It's not who you love. It's how.
Lovely & Amazing,8/31/01,
Death Calls,9/1/10,
Better Luck Tomorrow,1/12/02,Never underestimate an overachiever.
The Incredibly True Adventure of Two Girls In Love,6/16/95,
Chuck & Buck,1/21/00,REMEMBER THOSE GAMES WE USED TO PLAY?
American Desi,1/1/01,
Amidst the Devil's Wings,12/1/14,"Prequel to ""5th of a Degree."""
Cube,9/9/97,Don't look for a reason... Look for a way out.
Love and Other Catastrophes,8/1/96,
I Married a Strange Person!,8/28/98,
November,7/22/04,
Like Crazy,10/28/11,I Want You. I Need You. I Love You. I Miss You.
Teeth and Blood,3/10/15,
Sugar Town,9/17/99,
The Motel,1/1/05,Out of Place in the Middle of Nowhere.
The Canyons,7/29/13,It's not the hills.
On the Outs,9/11/04,A drug dealer. An addict. A runaway. The story of 3 girls.
Shotgun Stories,10/1/07,Two families. One feud. No going back.
Exam,6/19/09,How far would you go to win the ultimate job?
The Sticky Fingers of Time,6/6/97,
Sunday School Musical,10/21/08,
Rust,10/7/10,
Ink,1/23/09,dreams
The Christmas Bunny,11/28/10,Everybody needs some bunny to love.
Butterfly,2/5/82,A Controversial Thriller of Murder and Revenge.
UnDivided,2/1/13,
The Frozen,10/10/12,
Horse Camp,1/10/15,The summer they'll never forget
Give Me Shelter,6/24/14,
The Big Parade,11/5/25,
Little Big Top,1/1/06,
Along the Roadside,2/28/13,
Bronson,10/9/08,The Man. The Myth. The Celebrity.
Western Religion,10/9/15,"Your soul is at stake in Religion, Arizona."
Burn,11/1/12,One Year on the Front Lines of the Battle to Save Detroit
Urbania,1/24/00,Heard any good stories lately?
The Stewardesses,7/25/69,The Unpublishable Novel Is Now America's Most Controversial Film!
"The Beast from 20,000 Fathoms",6/13/53,It's alive !
Mad Max,4/12/79,The Maximum Force Of The Future
Swingers,10/18/96,Cocktails first. Questions later.
A Fistful of Dollars,9/12/64,"In his own way he is perhaps, the most dangerous man who ever lived!"
She Done Him Wrong,2/9/33,Mae West gives a 'Hot Time' to the nation!
Short Cut to Nirvana: Kumbh Mela,5/11/04,
The Grace Card,2/25/11,Never Underestimate The Power Of Grace ...
Middle of Nowhere,10/12/12,
Three,12/23/10,Imagine the possibilities.
The Business of Fancydancing,1/14/02,Sometimes going home is the hardest journey of all.
Call + Response,10/10/08,A FILM ABOUT THE WORLD'S 27 MILLION MOST TERRIFYING SECRETS.
Malevolence,9/10/04,
Reality Show,1/1/15,
Super Hybrid,1/1/10,
Baghead,1/21/08,
American Beast,10/21/14,
The Case of the Grinning Cat,12/5/04,
Ordet,1/9/55,
Good Dick,10/3/08,A hard man... is good to find.
The Man from Earth,6/10/07,From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...
The Trials Of Darryl Hunt,6/15/07,
Samantha: An American Girl Holiday,11/23/04,
Yesterday Was a Lie,1/1/08,
Theresa Is a Mother,9/25/15,
H.,8/28/14,
Archaeology of a Woman,9/12/14,
Children of Heaven,8/1/97,A Little Secret...Their Biggest Adventure!
Weekend,9/22/11,A (sort of) love story between two guys over a cold weekend in October.
She's Gotta Have It,8/8/86,A Seriously Sexy Comedy
Butterfly Girl,3/10/14,
The World Is Mine,6/5/15,
Another Earth,7/22/11,
Sweet Sweetback's Baadasssss Song,4/23/71,The Film that THE MAN doesn't want you to see!
Perfect Cowboy,7/13/14,
Tadpole,11/1/02,Everyone says he should date girls his own age. Oscar respectfully disagrees.
Once,3/23/07,How often do you find the right person?
The Woman Chaser,10/8/99,
The Horse Boy,11/25/09,
When the Lights Went Out,1/31/12,Set in 1974 and based on true events.
Heroes of Dirt,9/4/15,
A Charlie Brown Christmas,12/9/65,"That's what Christmas is all about, Charlie Brown!"
Antarctic Edge: 70° South,4/17/15,
Aroused,2/20/13,16 porn stars reveal more than just their naked skin.
Top Spin,11/15/14,
Roger & Me,9/1/89,
An American in Hollywood,7/18/14,
Sound of My Voice,1/22/11,
The Blood of My Brother: A Story of Death in Iraq,11/25/05,
Your Sister's Sister,9/11/11,A comedy about doing the right thing with the wrong person.
A Dog's Breakfast,3/3/07,Man's best friend makes the worst accomplice.
The Married Woman,12/4/64,She Loves Two Men... She is Married to One!
The Birth of a Nation,9/9/16,The Untold Story of Nat Turner
The Work and The Story,1/1/03,Dream big. Make it happen?
Facing the Giants,9/29/06,Never give up. Never back down. Never lose faith.
The Gallows,7/10/15,Every School Has Its Spirit
Eraserhead,3/19/77,Where your nightmares end...
Hollywood Shuffle,3/20/87,"Bobby Taylor was on his way to becoming a star, when a funny thing happened..."
The Mighty,10/23/98,The quest for friendship is the noblest cause of all
Penitentiary,12/1/79,"There's only one way out, and 100 fools stand in the way!"
The Lost Skeleton of Cadavra,9/12/01,No One Can Stand Its Mental Power!
Dude Where's My Dog?,6/12/14,
Cheap Thrills,3/8/13,Get ready for the night of your life
Indie Game: The Movie,5/18/12,
Straightheads,4/27/07,Let the revenge fit the crime
Open Secret,2/14/48,The Pull-No-Punch drama of men chained together by hate!
Echo Dr.,11/8/13,To Serve & Terminate
The Night Visitor,1/1/71,Locked in the cold asylum of his mind - a sane man stalks his prey...
The Past Is a Grotesque Animal,6/15/14,
"Peace, Propaganda & the Promised Land",1/28/05,
Pi,7/10/98,"There will be no order, only chaos"
"I Love You, Don't Touch Me!",1/21/97,Just Your Typical Boy-Loves-Girl Who Doesn't Love Boy Till He Loves Other Girl Story
20 Dates,1/1/98,A comedy so real you'll think it's fiction.
Queen Crab,9/29/15,
Super Size Me,1/17/04,The first ever reality-based movie ... everything begins and ends in 30 days!
The FP,3/13/11,An Ancient Game Becomes A Deadly Sport.
Happy Christmas,6/26/14,Family is the gift that keeps on taking.
The Brain That Wouldn't Die,2/25/62,Alive... without a body... fed by an unspeakable horror from hell!
Tiger Orange,7/26/14,Do We Stand Out or Do We Fit In?
Supporting Characters,1/23/12,
Absentia,3/3/11,There are fates worse than death.
The Brothers McMullen,8/9/95,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.
The Dirties,10/4/13,
Gabriela,3/24/83,
Tiny Furniture,11/12/10,"Aura would like you to know that she is having a very, very hard time."
Hayride,10/13/12,Southern Fried Horror
The Naked Ape,9/16/06,
Counting,2/9/15,
The Call of Cthulhu,1/1/05,
Bending Steel,4/20/13,The Limiting Factor Is The Mind
The Signal,3/15/14,R U Agitated?
The Image Revolution,11/21/13,
This Is Martin Bonner,6/28/13,Sometimes You Have to Lose Your Life in Order to Find It
A True Story,9/20/13,
George Washington,10/1/00,
Smiling Fish & Goat On Fire,9/16/99,"two brothers, four women and the search for Magnetic Perfection"
Dawn of the Crescent Moon,4/5/14,The past is present.
Raymond Did It,3/27/11,Mom's Pretty Mad At Me
The Last Waltz,5/1/78,It Started as a Concert. It Became a Celebration.
"Run, Hide, Die",9/1/15,"Five girls, one secret. Revenge stalks them in the night."
The Exploding Girl,4/22/09,
The Legend of God's Gun,7/8/07,
Mutual Appreciation,3/1/05,
Her Cry: La Llorona Investigation,4/19/13,
Down Terrace,9/1/09,You're only as good as the people you know.
Clerks,9/13/94,Just because they serve you doesn't mean they like you.
Pink Narcissus,1/1/71,A unique experience in visual fantasy!
Funny Ha Ha,9/20/02,
In the Company of Men,1/19/97,Are all men bastards...or just misunderstood?
Manito,1/15/02,
Rampage,8/14/09,Vengeance is ruthless.
Slacker,7/27/90,
Dutch Kills,10/2/15,
Dry Spell,2/14/13,Getting divorced does funny things to a girl
Flywheel,1/1/03,
Backmask,1/16/15,nederlands
The Puffy Chair,1/17/05,
Stories of Our Lives,9/5/14,
Breaking Upwards,3/14/09,
All Superheroes Must Die,10/26/11,May The Best Man Win
Pink Flamingos,3/12/72,An exercise in poor taste.
Clean,9/1/04,"When you don't have a choice, you change."
The Circle,9/8/00,
Tin Can Man,1/1/07,Everything You've Heard is True
Cure,11/6/97,Madness. Terror. Murder.
On The Downlow,4/11/04,Two gangs. One secret. One crossroad.
Sanctuary: Quite a Conundrum,1/20/12,
Bang,9/9/95,Sometimes you've got to break the rules
Primer,10/8/04,What happens if it actually works?
Cavite,3/12/05,
El Mariachi,9/4/92,"He didn't come looking for trouble, but trouble came looking for him."
Newlyweds,12/26/11,A newlywed couple's honeymoon is upended by the arrivals of their respective sisters.
"Signed, Sealed, Delivered",10/13/13,
Shanghai Calling,5/3/12,A New Yorker in Shanghai
